Reporting Area,MMWR Year,MMWR Week,"Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Current week","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Current week, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Previous 52 weeks Max†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Previous 52 weeks Max†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2022†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2022†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2021†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2021†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Current week","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Current week, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Previous 52 weeks Max†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Previous 52 weeks Max†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2022†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2022†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2021†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2021†, flag",Location 1,Location 2,Reporting Area Sort,geocode
TOTAL,2022,1,2,,82,,2,,5,,3,,47,,3,,6,,,TOTAL,202200170,
US TERRITORIES,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,202200163,
SOUTH DAKOTA,2022,1,,-,1,,,-,,-,,-,1,,,-,,-,SOUTH DAKOTA,,202200127,POINT (-100.230491 44.43614)
GEORGIA,2022,1,,-,2,,,-,,-,,-,1,,,-,,-,GEORGIA,,202200132,POINT (-83.426574 32.638481)
WYOMING,2022,1,,-,1,,,-,,-,,-,0,,,-,,-,WYOMING,,202200156,POINT (-107.55145 42.999627)
WEST VIRGINIA,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,202200137,POINT (-80.613729 38.642579)
NEW JERSEY,2022,2,,-,2,,,-,,-,,-,3,,,-,,-,NEW JERSEY,,202200210,POINT (-74.655514 40.110253)
CALIFORNIA,2022,1,,-,17,,,-,,-,,-,8,,,-,,-,CALIFORNIA,,202200159,POINT (-119.662127 37.211164)
OKLAHOMA,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,OKLAHOMA,,202200246,POINT (-97.508297 35.583449)
VERMONT,2022,2,,-,0,,,-,,-,,-,2,,,-,,-,VERMONT,,202200208,POINT (-72.662695 44.075252)
MASSACHUSETTS,2022,2,,-,6,,,-,1,,,-,3,,1,,,-,MASSACHUSETTS,,202200205,POINT (-71.481104 42.151077)
NEW MEXICO,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,202200254,POINT (-106.108388 34.421369)
MASSACHUSETTS,2022,1,,-,6,,,-,1,,1,,3,,1,,,-,MASSACHUSETTS,,202200105,POINT (-71.481104 42.151077)
UTAH,2022,2,,-,4,,,-,1,,,-,3,,,-,,-,UTAH,,202200255,POINT (-111.678222 39.323779)
NEW YORK CITY,2022,1,,-,2,,,-,,-,,-,3,,,-,1,,NEW YORK CITY,,202200112,
PACIFIC,2022,2,,-,45,,,-,2,,,-,26,,1,,2,,,PACIFIC,202200257,
WEST NORTH CENTRAL,2022,1,,-,3,,,-,,-,1,,6,,1,,,-,,WEST NORTH CENTRAL,202200120,
MIDDLE ATLANTIC,2022,1,1,,11,,1,,,-,,-,9,,,-,1,,,MIDDLE ATLANTIC,202200109,
ARKANSAS,2022,1,,-,1,,,-,,-,,-,1,,,-,,-,ARKANSAS,,202200144,POINT (-92.439162 34.899825)
MOUNTAIN,2022,1,,-,8,,,-,,-,,-,6,,,-,1,,,MOUNTAIN,202200148,
MONTANA,2022,1,,-,1,,,-,,-,,-,1,,,-,,-,MONTANA,,202200152,POINT (-109.645127 47.033521)
U.S. VIRGIN ISLANDS,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,U.S. VIRGIN ISLANDS,,202200168,
INDIANA,2022,1,,-,1,,,-,,-,,-,2,,,-,,-,INDIANA,,202200116,POINT (-86.2818 39.919991)
MISSISSIPPI,2022,1,,-,1,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,202200141,POINT (-89.65344 32.713378)
MISSOURI,2022,1,,-,1,,,-,,-,,-,3,,,-,,-,MISSOURI,,202200124,POINT (-92.477244 38.3675)
MICHIGAN,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,202200117,POINT (-85.730977 44.874798)
AMERICAN SAMOA,2022,1,,N,,NC,,N,,N,,N,,NC,,N,,N,AMERICAN SAMOA,,202200164,
WASHINGTON,2022,1,,-,28,,,-,,-,1,,13,,1,,2,,WASHINGTON,,202200162,POINT (-120.592492 47.411715)
NON-US RESIDENTS,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,202200169,
FLORIDA,2022,1,,-,12,,,-,1,,,-,4,,,-,,-,FLORIDA,,202200131,POINT (-82.420978 28.260731)
WEST SOUTH CENTRAL,2022,1,,-,11,,,-,,-,,-,7,,,-,,-,,WEST SOUTH CENTRAL,202200143,
ILLINOIS,2022,1,,-,4,,,-,,-,,-,4,,,-,,-,ILLINOIS,,202200115,POINT (-89.148632 40.124144)
KENTUCKY,2022,1,,-,2,,,-,,-,,-,4,,,-,,-,KENTUCKY,,202200140,POINT (-85.290484 37.526683)
NEW JERSEY,2022,1,,-,2,,,-,,-,,-,3,,,-,,-,NEW JERSEY,,202200110,POINT (-74.655514 40.110253)
SOUTH ATLANTIC,2022,1,1,,22,,1,,1,,,-,8,,,-,,-,,SOUTH ATLANTIC,202200128,
NEW MEXICO,2022,1,,-,1,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,202200154,POINT (-106.108388 34.421369)
DISTRICT OF COLUMBIA,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,202200130,POINT (-77.016275 38.904785)
ALABAMA,2022,1,,-,2,,,-,1,,,-,2,,,-,,-,ALABAMA,,202200139,POINT (-86.844516 32.756889)
ARIZONA,2022,1,,-,4,,,-,,-,,-,2,,,-,,-,ARIZONA,,202200149,POINT (-111.664616 34.293239)
MARYLAND,2022,1,,-,5,,,-,,-,,-,3,,,-,,-,MARYLAND,,202200133,POINT (-76.687282 38.946466)
US RESIDENTS,2022,1,2,,82,,2,,5,,3,,47,,3,,6,,,US RESIDENTS,202200101,
NEBRASKA,2022,1,,-,2,,,-,,-,1,,3,,1,,,-,NEBRASKA,,202200125,POINT (-99.810595 41.527099)
CONNECTICUT,2022,1,,-,3,,,-,,-,,-,3,,,-,,-,CONNECTICUT,,202200103,POINT (-72.738288 41.575155)
PENNSYLVANIA,2022,1,,-,4,,,-,,-,,-,5,,,-,,-,PENNSYLVANIA,,202200113,POINT (-77.838886 40.896694)
KANSAS,2022,1,,-,0,,,-,,-,,-,2,,,-,,-,KANSAS,,202200122,POINT (-98.38018 38.484729)
OHIO,2022,1,,-,4,,,-,2,,,-,5,,,-,1,,OHIO,,202200118,POINT (-82.70936 40.415534)
NEVADA,2022,1,,-,1,,,-,,-,,-,1,,,-,,-,NEVADA,,202200153,POINT (-114.916992 39.283294)
ALASKA,2022,1,,-,1,,,-,,-,,-,1,,,-,,-,ALASKA,,202200158,POINT (-151.631889 63.631126)
VERMONT,2022,1,,-,0,,,-,,-,,-,2,,,-,,-,VERMONT,,202200108,POINT (-72.662695 44.075252)
NEW HAMPSHIRE,2022,1,,-,1,,,-,,-,,-,1,,,-,,-,NEW HAMPSHIRE,,202200106,POINT (-71.57139 43.680429)
NORTHERN MARIANA ISLANDS,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,202200165,POINT (145.725693 15.1834)
MINNESOTA,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,202200123,POINT (-94.198308 46.349153)
VIRGINIA,2022,1,,-,4,,,-,,-,,-,4,,,-,,-,VIRGINIA,,202200136,POINT (-78.666382 37.510861)
RHODE ISLAND,2022,1,,-,2,,,-,,-,,-,1,,,-,,-,RHODE ISLAND,,202200107,POINT (-71.534637 41.572574)
NORTH CAROLINA,2022,1,,-,2,,,-,,-,,-,2,,,-,,-,NORTH CAROLINA,,202200134,POINT (-79.130883 35.52603)
MAINE,2022,1,,-,2,,,-,,-,,-,1,,,-,,-,MAINE,,202200104,POINT (-69.06137 45.117911)
TENNESSEE,2022,1,,-,5,,,-,,-,,-,2,,,-,1,,TENNESSEE,,202200142,POINT (-86.343226 35.842998)
TEXAS,2022,1,,-,6,,,-,,-,,-,6,,,-,,-,TEXAS,,202200147,POINT (-99.317341 31.447238)
IDAHO,2022,1,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,202200151,POINT (-114.659366 44.389073)
EAST SOUTH CENTRAL,2022,1,,-,5,,,-,1,,,-,4,,,-,1,,,EAST SOUTH CENTRAL,202200138,
UTAH,2022,1,,-,4,,,-,,-,,-,3,,,-,,-,UTAH,,202200155,POINT (-111.678222 39.323779)
NEW YORK,2022,1,1,,7,,1,,,-,,-,4,,,-,,-,NEW YORK,,202200111,POINT (-75.59655 42.921241)
LOUISIANA,2022,1,,-,6,,,-,,-,,-,3,,,-,,-,LOUISIANA,,202200145,POINT (-91.840238 30.921314)
WISCONSIN,2022,1,,-,2,,,-,,-,,-,4,,,-,,-,WISCONSIN,,202200119,POINT (-89.732969 44.639954)
OREGON,2022,1,,-,11,,,-,,-,,-,6,,,-,,-,OREGON,,202200161,POINT (-120.605279 43.940449)
NEW ENGLAND,2022,1,,-,10,,,-,1,,1,,6,,1,,,-,,NEW ENGLAND,202200102,
OKLAHOMA,2022,1,,-,1,,,-,,-,,-,1,,,-,,-,OKLAHOMA,,202200146,POINT (-97.508297 35.583449)
IOWA,2022,1,,N,,NC,,N,,N,,N,,NC,,N,,N,IOWA,,202200121,POINT (-93.500061 42.074659)
PUERTO RICO,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,202200167,POINT (-66.414655 18.215692)
COLORADO,2022,1,,-,4,,,-,,-,,-,3,,,-,1,,COLORADO,,202200150,POINT (-105.547832 38.998552)
EAST NORTH CENTRAL,2022,1,,-,6,,,-,2,,,-,6,,,-,1,,,EAST NORTH CENTRAL,202200114,
GUAM,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,202200166,POINT (144.653198 13.3532)
NORTH DAKOTA,2022,1,,-,1,,,-,,-,,-,1,,,-,,-,NORTH DAKOTA,,202200126,POINT (-100.46931 47.446305)
HAWAII,2022,1,,-,2,,,-,,-,,-,1,,,-,,-,HAWAII,,202200160,POINT (-157.854309 21.361013)
SOUTH CAROLINA,2022,1,1,,3,,1,,,-,,-,2,,,-,,-,SOUTH CAROLINA,,202200135,POINT (-80.864614 33.878572)
DELAWARE,2022,1,,-,5,,,-,,-,,-,1,,,-,,-,DELAWARE,,202200129,POINT (-75.452394 38.994926)
PACIFIC,2022,1,,-,45,,,-,,-,1,,26,,1,,2,,,PACIFIC,202200157,
NEW YORK CITY,2022,2,,-,2,,,-,,-,,-,3,,,-,1,,NEW YORK CITY,,202200212,
CONNECTICUT,2022,2,,-,3,,,-,,-,,-,3,,,-,1,,CONNECTICUT,,202200203,POINT (-72.738288 41.575155)
KANSAS,2022,2,,-,0,,,-,,-,,-,2,,,-,,-,KANSAS,,202200222,POINT (-98.38018 38.484729)
AMERICAN SAMOA,2022,2,,N,,NC,,N,,N,,N,,NC,,N,,N,AMERICAN SAMOA,,202200264,
LOUISIANA,2022,2,,-,6,,,-,,-,,-,3,,,-,2,,LOUISIANA,,202200245,POINT (-91.840238 30.921314)
MINNESOTA,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,202200223,POINT (-94.198308 46.349153)
US TERRITORIES,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,202200263,
MOUNTAIN,2022,2,,-,8,,,-,1,,,-,6,,,-,1,,,MOUNTAIN,202200248,
EAST NORTH CENTRAL,2022,2,,-,6,,,-,2,,,-,6,,2,,1,,,EAST NORTH CENTRAL,202200214,
EAST SOUTH CENTRAL,2022,2,,-,5,,,-,1,,1,,4,,1,,2,,,EAST SOUTH CENTRAL,202200238,
SOUTH DAKOTA,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,SOUTH DAKOTA,,202200227,POINT (-100.230491 44.43614)
MAINE,2022,2,,-,2,,,-,,-,,-,1,,,-,,-,MAINE,,202200204,POINT (-69.06137 45.117911)
TEXAS,2022,2,,-,6,,,-,,-,,-,6,,,-,,-,TEXAS,,202200247,POINT (-99.317341 31.447238)
PENNSYLVANIA,2022,2,,-,4,,,-,,-,,-,5,,,-,,-,PENNSYLVANIA,,202200213,POINT (-77.838886 40.896694)
WEST SOUTH CENTRAL,2022,2,,-,11,,,-,,-,,-,7,,,-,2,,,WEST SOUTH CENTRAL,202200243,
ALASKA,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,ALASKA,,202200258,POINT (-151.631889 63.631126)
MISSOURI,2022,2,,-,1,,,-,,-,,-,3,,,-,,-,MISSOURI,,202200224,POINT (-92.477244 38.3675)
IDAHO,2022,2,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,202200251,POINT (-114.659366 44.389073)
FLORIDA,2022,2,,-,12,,,-,1,,,-,4,,,-,,-,FLORIDA,,202200231,POINT (-82.420978 28.260731)
NEW ENGLAND,2022,2,,-,10,,,-,1,,,-,6,,1,,1,,,NEW ENGLAND,202200202,
MARYLAND,2022,2,,-,5,,,-,,-,,-,3,,,-,,-,MARYLAND,,202200233,POINT (-76.687282 38.946466)
NORTH DAKOTA,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,NORTH DAKOTA,,202200226,POINT (-100.46931 47.446305)
WEST NORTH CENTRAL,2022,2,,-,3,,1,,,-,,-,6,,,-,1,,,WEST NORTH CENTRAL,202200220,
WYOMING,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,WYOMING,,202200256,POINT (-107.55145 42.999627)
WEST VIRGINIA,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,202200237,POINT (-80.613729 38.642579)
US RESIDENTS,2022,2,,-,82,,3,,9,,2,,47,,6,,12,,,US RESIDENTS,202200201,
ILLINOIS,2022,2,,-,4,,,-,,-,,-,4,,,-,,-,ILLINOIS,,202200215,POINT (-89.148632 40.124144)
TENNESSEE,2022,2,,-,5,,,-,,-,,-,2,,,-,2,,TENNESSEE,,202200242,POINT (-86.343226 35.842998)
U.S. VIRGIN ISLANDS,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,U.S. VIRGIN ISLANDS,,202200268,
MONTANA,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,MONTANA,,202200252,POINT (-109.645127 47.033521)
COLORADO,2022,2,,-,4,,,-,,-,,-,3,,,-,1,,COLORADO,,202200250,POINT (-105.547832 38.998552)
NEBRASKA,2022,2,,-,2,,1,,,-,,-,3,,,-,1,,NEBRASKA,,202200225,POINT (-99.810595 41.527099)
HAWAII,2022,2,,-,2,,,-,1,,,-,1,,,-,,-,HAWAII,,202200260,POINT (-157.854309 21.361013)
NORTHERN MARIANA ISLANDS,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,202200265,POINT (145.725693 15.1834)
DELAWARE,2022,2,,-,5,,,-,,-,,-,1,,,-,1,,DELAWARE,,202200229,POINT (-75.452394 38.994926)
PUERTO RICO,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,202200267,POINT (-66.414655 18.215692)
SOUTH CAROLINA,2022,2,,-,3,,1,,,-,1,,2,,1,,,-,SOUTH CAROLINA,,202200235,POINT (-80.864614 33.878572)
WASHINGTON,2022,2,,-,28,,,-,,-,,-,13,,1,,2,,WASHINGTON,,202200262,POINT (-120.592492 47.411715)
VIRGINIA,2022,2,,-,4,,,-,,-,,-,4,,,-,,-,VIRGINIA,,202200236,POINT (-78.666382 37.510861)
SOUTH ATLANTIC,2022,2,,-,22,,1,,1,,1,,8,,1,,1,,,SOUTH ATLANTIC,202200228,
KENTUCKY,2022,2,,-,2,,,-,,-,,-,4,,,-,,-,KENTUCKY,,202200240,POINT (-85.290484 37.526683)
NEVADA,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,NEVADA,,202200253,POINT (-114.916992 39.283294)
NON-US RESIDENTS,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,202200269,
ARKANSAS,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,ARKANSAS,,202200244,POINT (-92.439162 34.899825)
GEORGIA,2022,2,,-,2,,,-,,-,,-,1,,,-,,-,GEORGIA,,202200232,POINT (-83.426574 32.638481)
ARIZONA,2022,2,,-,4,,,-,,-,,-,2,,,-,,-,ARIZONA,,202200249,POINT (-111.664616 34.293239)
